titleid,titlename,description,genre,releaseyear,runtimeminutes
425,The Last Picture Show,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.","Drama, Romance",1971,118
426,Fiddler on the Roof,"In prerevolutionary Russia, a Jewish peasant contends with marrying off three of his daughters while growing anti-Semitic sentiment threatens his village.","Drama, Family, Musical",1971,181
427,Il conformista,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.",Drama,1970,113
428,Butch Cassidy and the Sundance Kid,"Wyog, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.","Biography, Crime, Drama",1969,110
429,Rosemary's Baby,A young couple trying for a baby move into a fancy apartment surrounded by peculiar neighbors.,"Drama, Horror",1968,137
430,Planet of the Apes,"An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the doant species, and humans are the oppressed and enslaved.","Adventure, Sci-Fi",1968,112
431,The Graduate,A disillusioned college graduate finds himself torn between his older lover and her daughter.,"Comedy, Drama, Romance",1967,106
432,Who's Afraid of Virginia Woolf?,"A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night.",Drama,1966,131
433,The Sound of Music,A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.,"Biography, Drama, Family",1965,172
434,Doctor Zhivago,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist''s wife and experiences hardship during World War I and then the October Revolution.","Drama, Romance, War",1965,197
435,Per un pugno di dollari,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.","Action, Drama, Western",1964,99
436,8½,A harried movie director retreats into his memories and fantasies.,Drama,1963,138
437,Vivre sa vie: Film en douze tableaux,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.,Drama,1962,80
438,The Hustler,An up-and-cog pool player plays a long-time champion in a single high-stakes match.,"Drama, Sport",1961,134
439,La dolce vita,A series of stories following a week in the life of a philandering paparazzo journalist living in Rome.,"Comedy, Drama",1960,174
440,Rio Bravo,"A small-town sheriff in the American West enlists the help of a cripple, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.","Action, Drama, Western",1959,141
441,Anatomy of a Murder,"In a murder trial, the defendant says he suffered temporary insanity after the victim raped his wife. What is the truth, and will he win his case?","Crime, Drama, Mystery",1959,161
442,Touch of Evil,"A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.","Crime, Drama, Film-Noir",1958,95
443,Cat on a Hot Tin Roof,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his teral father jogs a host of memories and revelations for both father and son.,Drama,1958,108
444,Sweet Smell of Success,Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.,"Drama, Film-Noir",1957,96
445,The Killing,Crook Johnny Clay assembles a five man team to plan and execute a daring race-track robbery.,"Crime, Drama, Film-Noir",1956,84
